"PartNum","alpha","beta","PE","BIC","LL"
2,0.431834504834681,2.17537873024266,0,296.725943205577,-143.294067400568
3,0.277063047250748,3.29485233502165,0,199.208444249384,-94.5353179224716
4,0.394934025232843,4.35885535040693,0,109.440954217693,-49.6515729066261
5,0.715376145060337,1.89296329278922,0,319.402308344048,-154.632249969804
6,0.691625630295747,2.47054653801306,0,243.471781296699,-116.666986446129
7,0.461519597596796,3.77194338959886,0,139.273056842489,-64.5676242190242
8,0.537144289600888,4.5616972042003,0,87.6004415318574,-38.7313165637085
9,0.561517203035526,3.61804603512529,0,143.031877367284,-66.447034481422
10,0.394442135969666,4.09955165006038,0,123.364566454924,-56.6133790252416
11,0.443974039890144,3.04255216144576,0,203.447016715284,-96.6546041554217
